id,title,authors,year,venue,citation_count,doi,source_url,oa_url,pdf_path
94eae578e6af3382f6449506965639f18aab3fa0,Video Swin Transformer,Ze Liu | Jia Ning | Yue Cao | Yixuan Wei | Zheng Zhang | Stephen Lin | Han Hu,2021,Computer Vision and Pattern Recognition,2049,10.1109/CVPR52688.2022.00320,https://doi.org/10.1109/CVPR52688.2022.00320,https://arxiv.org/pdf/2106.13230,data\pdfs\94eae578e6af3382f6449506965639f18aab3fa0.pdf
68f080e0ac836ea230cb5316fbed273c70422d75,Segmenter: Transformer for Semantic Segmentation,Robin Strudel | Ricardo Garcia Pinel | I. Laptev | C. Schmid,2021,IEEE International Conference on Computer Vision,1901,10.1109/ICCV48922.2021.00717,https://doi.org/10.1109/ICCV48922.2021.00717,https://arxiv.org/pdf/2105.05633,data\pdfs\68f080e0ac836ea230cb5316fbed273c70422d75.pdf
38c48a1cd296d16dc9c56717495d6e44cc354444,Vision Mamba: Efficient Visual Representation Learning with Bidirectional State Space Model,Lianghui Zhu | Bencheng Liao | Qian Zhang | Xinlong Wang | Wenyu Liu | Xinggang Wang,2024,International Conference on Machine Learning,1730,10.48550/arXiv.2401.09417,https://doi.org/10.48550/arXiv.2401.09417,https://arxiv.org/pdf/2401.09417,data\pdfs\38c48a1cd296d16dc9c56717495d6e44cc354444.pdf
a26a7a74f1e5fd562be95c3611a0680759fbdf84,CoCa: Contrastive Captioners are Image-Text Foundation Models,Jiahui Yu | Zirui Wang | Vijay Vasudevan | Legg Yeung | Mojtaba Seyedhosseini | Yonghui Wu,2022,Trans. Mach. Learn. Res.,1713,10.48550/arXiv.2205.01917,https://doi.org/10.48550/arXiv.2205.01917,https://arxiv.org/pdf/2205.01917,data\pdfs\a26a7a74f1e5fd562be95c3611a0680759fbdf84.pdf
18863dbfa32eaa1ccdb56ff180e6ab079a7f1ec6,Multiscale Vision Transformers,Haoqi Fan | Bo Xiong | K. Mangalam | Yanghao Li | Zhicheng Yan | J. Malik | Christoph Feichtenhofer,2021,IEEE International Conference on Computer Vision,1612,10.1109/ICCV48922.2021.00675,https://doi.org/10.1109/ICCV48922.2021.00675,http://arxiv.org/pdf/2104.11227,data\pdfs\18863dbfa32eaa1ccdb56ff180e6ab079a7f1ec6.pdf
9f4b69762ffb1ba42b573fd4ced996f3153e21c0,CoAtNet: Marrying Convolution and Attention for All Data Sizes,Zihang Dai | Hanxiao Liu | Quoc V. Le | Mingxing Tan,2021,Neural Information Processing Systems,1576,,,https://arxiv.org/pdf/2106.04803,data\pdfs\9f4b69762ffb1ba42b573fd4ced996f3153e21c0.pdf
14014c024674991149f3ecf9314c93f7e029ef1a,"Geometric Deep Learning: Grids, Groups, Graphs, Geodesics, and Gauges",M. Bronstein | Joan Bruna | Taco Cohen | Petar Velivckovi'c,2021,arXiv.org,1530,,,https://arxiv.org/pdf/2104.13478,data\pdfs\14014c024674991149f3ecf9314c93f7e029ef1a.pdf
7e5709d81558d3ef4265de29ea75931afeb1f2dd,Efficient Transformers: A Survey,Yi Tay | Mostafa Dehghani | Dara Bahri | Donald Metzler,2020,ACM Computing Surveys,1488,10.1145/3530811,https://doi.org/10.1145/3530811,https://arxiv.org/pdf/2009.06732,data\pdfs\7e5709d81558d3ef4265de29ea75931afeb1f2dd.pdf
d8d2e574965fe733eb1416e03df2b5c2914fc530,A Survey of Transformers,Tianyang Lin | Yuxin Wang | Xiangyang Liu | Xipeng Qiu,2021,AI Open,1476,10.1016/j.aiopen.2022.10.001,https://doi.org/10.1016/j.aiopen.2022.10.001,https://arxiv.org/pdf/2202.07730,data\pdfs\d8d2e574965fe733eb1416e03df2b5c2914fc530.pdf
ed4087f6e8d77452810979f58246c5b2ad846cf8,Transformers in Time Series: A Survey,Qingsong Wen | Tian Zhou | Chao Zhang | Weiqiu Chen | Ziqing Ma | Junchi Yan | Liang Sun,2022,International Joint Conference on Artificial Intelligence,1411,10.24963/ijcai.2023/759,https://doi.org/10.24963/ijcai.2023/759,https://www.ijcai.org/proceedings/2023/0759.pdf,data\pdfs\ed4087f6e8d77452810979f58246c5b2ad846cf8.pdf
